,region,city,area,rooms,toilets,price,year,month
370,abruzzo, Città Sant'Angelo,194m²,5+,3,€ 329.000,2023,7
371,abruzzo, Pescara,234m²,4,3,€ 970.000,2023,7
372,abruzzo, Martinsicuro,75m²,3,1,€ 92.000,2023,7
373,abruzzo, Vasto,50m²,3,1,€ 123.000,2023,7
374,abruzzo, Castellalto,1.737m²,4,1,€ 130.000,2023,7
375,abruzzo, Martinsicuro,63m²,3,1,€ 130.000,2023,7
376,abruzzo, Montesilvano,65m²,3,1,€ 193.500,2023,7
377,abruzzo, Pescara,49m²,,1,€ 65.000,2023,7
378,abruzzo, Teramo,147m²,3,2,€ 159.000,2023,7
379,abruzzo, Ortona,47m²,2,1,€ 128.000,2023,7
380,abruzzo, Pescara,131m²,4,2,€ 415.000,2023,7
381,abruzzo, Notaresco,192m²,4,2,€ 185.000,2023,7
382,abruzzo, Alba Adriatica,55m²,2,1,"€ 135.000€ 158.000(-14,6%)",2023,7
383,abruzzo, Teramo,125m²,4,1,€ 85.000,2023,7
384,abruzzo, Roseto degli Abruzzi,50m²,3,1,€ 90.000,2023,7
385,abruzzo, Pescara,190m²,5+,3,€ 350.000,2023,7
386,abruzzo, Roseto degli Abruzzi,125m²,5+,3,"€ 178.000€ 195.000(-8,7%)",2023,7
